party,constituency,name,margin,state,votes,color
Janata Dal (United),Agiaon (SC),PRABHUNATH PRASAD,14704,Bihar,52276,#594671
Janata Dal (United),Alamnagar,NARENDRA NARAYAN YADAV,43876,Bihar,87962,#594671
Rashtriya Janata Dal,Alauli (SC),CHANDAN KUMAR,24470,Bihar,70519,#21610B
Rashtriya Janata Dal,Alinagar,ABDUL BARI SIDDIQUI,13460,Bihar,67461,#21610B
Janata Dal (United),Amarpur,JANARDAN MANJHI,11773,Bihar,73707,#594671
Bharatiya Janata Party,Amnour,SHATRUDHAN TIWARY,5251,Bihar,39134,#FB7B0D
Indian National Congress,Amour,ABDUL JALIL MASTAN,51997,Bihar,100135,#019733
Indian National Congress,Araria,AVIDUR RAHMAN,40044,Bihar,92667,#019733
Rashtriya Janata Dal,Arrah,MOHAMMAD NAWAZ ALAM,666,Bihar,70004,#21610B
Rashtriya Janata Dal,Arwal,RAVINDRA SINGH,17810,Bihar,55295,#21610B
Janata Dal (United),Asthawan,JITENDRA KUMAR,10444,Bihar,58908,#594671
Rashtriya Janata Dal,Atri,KUNTI DEVI,13817,Bihar,60687,#21610B
Rashtriya Janata Dal,Aurai,SURENDRA KUMAR,10825,Bihar,66958,#21610B
Indian National Congress,Aurangabad,ANAND SHANKAR SINGH,18398,Bihar,63637,#019733
Janata Dal (United),Babubarhi,KAPIL DEO KAMAT,20267,Bihar,61486,#594671
Indian National Congress,Bachhwara,RAMDEO RAI,36931,Bihar,73983,#019733
Bharatiya Janata Party,Bagaha,RAGHAW SHARAN PANDEY,8183,Bihar,74476,#FB7B0D
Indian National Congress,Bahadurganj,M.D. TAUSEEF ALAM,13942,Bihar,53533,#019733
Rashtriya Janata Dal,Bahadurpur,BHOLA YADAV,16989,Bihar,71547,#21610B
Bharatiya Janata Party,Baikunthpur,MITHILESH TIWARI,14115,Bihar,56162,#FB7B0D
Rashtriya Janata Dal,Baisi,ABDUS SUBHAN,38740,Bihar,67022,#21610B
Janata Dal (United),Bajpatti,DR. RANJU GEETA,16946,Bihar,67194,#594671
Rashtriya Janata Dal,Bakhri (SC),UPENDRA PASWAN,40256,Bihar,72632,#21610B
Bharatiya Janata Party,Bakhtiarpur,RANVIJAY SINGH,7902,Bihar,61496,#FB7B0D
Communist Party of India (Marxist-Leninist) (Liberation),Balrampur,MAHBOOB ALAM,20419,Bihar,62513,#DE0000
Rashtriya Janata Dal,Baniapur,KEDAR NATH SINGH,15951,Bihar,69851,#21610B
Bharatiya Janata Party,Banka,RAM NARAYAN MANDAL,3730,Bihar,52379,#FB7B0D
Bharatiya Janata Party,Bankipur,NITIN NAVEEN,39767,Bihar,86759,#FB7B0D
Bharatiya Janata Party,Banmankhi (SC),KRISHNA KUMAR RISHI,708,Bihar,59053,#FB7B0D
Rashtriya Janata Dal,Barachatti (SC),SAMTA DEVI,19126,Bihar,70909,#21610B
Rashtriya Janata Dal,Barari,NEERAJ KUMAR,14336,Bihar,71175,#21610B
Rashtriya Janata Dal,Barauli,MD NEMATULLAH,504,Bihar,61690,#21610B
Indian National Congress,Barbigha,SUDARSHAN KUMAR,15717,Bihar,46406,#019733
Bharatiya Janata Party,Barh,GYANENDRA KUMAR SINGH,8359,Bihar,63989,#FB7B0D
Rashtriya Janata Dal,Barhara,SAROJ YADAV,13308,Bihar,65001,#21610B
Janata Dal (United),Barharia,SHYAM BAHADUR SINGH,14583,Bihar,65168,#594671
Rashtriya Janata Dal,Baruraj,NAND KUMAR RAI,4909,Bihar,68011,#21610B
Bharatiya Janata Party,Bathnaha (SC),DINKAR RAM,20166,Bihar,74763,#FB7B0D
Indian National Congress,Begusarai,AMITA BHUSHAN,16531,Bihar,83521,#019733
Rashtriya Janata Dal,Belaganj,SURENDRA PRASAD YADAV,30341,Bihar,71067,#21610B
Janata Dal (United),Beldaur,PANNA LAL SINGH PATEL,13525,Bihar,63216,#594671
Janata Dal (United),Belhar,GIRIDHARI YADAV,16191,Bihar,70348,#594671
Janata Dal (United),Belsand,SUNITA SINGH CHAUHAN,5575,Bihar,33785,#594671
Indian National Congress,Benipatti,BHAWANA JHA,4734,Bihar,55978,#019733
Janata Dal (United),Benipur,SUNIL CHOUDHARY,26443,Bihar,69511,#594671
Indian National Congress,Bettiah,MADAN MOHAN TIWARI,2320,Bihar,66786,#019733
Bharatiya Janata Party,Bhabua,ANAND BHUSHAN PANDEY,7744,Bihar,50768,#FB7B0D
Indian National Congress,Bhagalpur,AJEET SHARMA,10658,Bihar,70514,#019733
Indian National Congress,Bhorey (SC),ANIL KUMAR,14871,Bihar,74365,#019733
Janata Dal (United),Bibhutipur,RAM BALAK SINGH,17235,Bihar,57882,#594671
Janata Dal (United),Bihariganj,NIRANJAN KUMAR MEHTA,29253,Bihar,78361,#594671
Bharatiya Janata Party,Biharsharif,DR.SUNIL KUMAR,2340,Bihar,76201,#FB7B0D
Rashtriya Janata Dal,Bihpur,VARSHA RANI,12716,Bihar,68963,#21610B
Indian National Congress,Bikram,SIDDHARTH,44311,Bihar,94088,#019733
Rashtriya Janata Dal,Bisfi,FAIYAZ AHMAD,35325,Bihar,70975,#21610B
Independent,Bochaha (SC),BEBY KUMARI,24130,Bihar,67720,#95b3d7
Rashtriya Janata Dal,Bodh Gaya (SC),KUMAR SARVJEET,30473,Bihar,82656,#21610B
Rashtriya Janata Dal,Brahampur,SHAMBHU NATH YADAV,30776,Bihar,94079,#21610B
Indian National Congress,Buxar,SANJAY KUMAR TIWARI ALIAS MUNNA TIWARI,10181,Bihar,66527,#019733
Bharatiya Janata Party,Chainpur,BRIJ KISHOR BIND,671,Bihar,58913,#FB7B0D
Rashtriya Janata Dal,Chakai,SAVITRI DEVI,12113,Bihar,47064,#21610B
Bharatiya Janata Party,Chanpatia,PRAKASH RAI,464,Bihar,61304,#FB7B0D
Bharatiya Janata Party,Chapra,DR. C.N. GUPTA,11379,Bihar,71646,#FB7B0D
Rashtriya Lok Samta Party,Chenari (SC),LALAN PASWAN,9781,Bihar,68148,#999
Janata Dal (United),Cheria Bariarpur,KUMARI MANJU VERMA,29736,Bihar,69795,#594671
Bharatiya Janata Party,Chhatapur,NIRAJ KUMAR SINGH,9292,Bihar,75697,#FB7B0D
Bharatiya Janata Party,Chiraia,LAL BABU PRASAD GUPTA,4374,Bihar,62831,#FB7B0D
Bharatiya Janata Party,Danapur,ASHA DEVI,5209,Bihar,72192,#FB7B0D
Communist Party of India (Marxist-Leninist) (Liberation),Darauli (SC),SATYADEO RAM,9584,Bihar,49576,#DE0000
Janata Dal (United),Daraundha,KAVITA SINGH,13222,Bihar,66255,#594671
Bharatiya Janata Party,Darbhanga,SANJAY SARAOGI,7460,Bihar,77776,#FB7B0D
Rashtriya Janata Dal,Darbhanga Rural,LALIT KUMAR YADAV,34491,Bihar,70557,#21610B
Rashtriya Janata Dal,Dehri,MOHAMMAD ILIYAS HUSSAIN,3898,Bihar,49402,#21610B
Rashtriya Janata Dal,Dhaka,FAISAL RAHMAN,19197,Bihar,87458,#21610B
Janata Dal (United),Dhamdaha,LESHI SINGH,29817,Bihar,75400,#594671
Janata Dal (United),Dhauraiya (SC),MANISH KUMAR,24154,Bihar,68858,#594671
Bharatiya Janata Party,Digha,SANJIV CHAURASIA,24779,Bihar,92671,#FB7B0D
Janata Dal (United),Dinara,JAI KUMAR SINGH,2691,Bihar,64699,#594671
Janata Dal (United),Dumraon,DADAN YADAV,30339,Bihar,81081,#594671
Janata Dal (United),Ekma,MANORANJAN SINGH,8126,Bihar,49508,#594671
Rashtriya Janata Dal,Fatuha,DR. RAMA NAND YADAV,30402,Bihar,77210,#21610B
Bharatiya Janata Party,Forbesganj,VIDYA SAGAR KESHRI,25238,Bihar,85929,#FB7B0D
Rashtriya Janata Dal,Gaighat,MAHESHWAR PRASAD YADAV,3501,Bihar,67313,#21610B
Rashtriya Janata Dal,Garkha (SC),MUNESHWAR CHAUDHARY,39883,Bihar,89249,#21610B
Janata Dal (United),Gaura Bauram,MADAN SAHNI,14062,Bihar,51403,#594671
Bharatiya Janata Party,Gaya Town,PREM KUMAR,22789,Bihar,66891,#FB7B0D
Janata Dal (United),Ghosi,KRISHAN NANDAN PRASAD VERMA,21625,Bihar,67248,#594671
Indian National Congress,Gobindpur,PURNIMA YADAV,4399,Bihar,43016,#019733
Bharatiya Janata Party,Goh,MANOJ KUMAR,7672,Bihar,53615,#FB7B0D
Bharatiya Janata Party,Gopalganj,SUBASH SINGH,5074,Bihar,78491,#FB7B0D
Janata Dal (United),Gopalpur,NARENDRA KUMAR NIRAJ,5169,Bihar,57403,#594671
Rashtriya Janata Dal,Goriakothi,SATYADEO PRASAD SINGH,7651,Bihar,70965,#21610B
Lok Jan Shakti Party,Govindganj,RAJU TIWARI,27920,Bihar,74685,#999
Bharatiya Janata Party,Gurua,RAJIV NANDAN,6515,Bihar,56480,#FB7B0D
Bharatiya Janata Party,Hajipur,AWADHESH SINGH,12195,Bihar,86773,#FB7B0D
Rashtriya Lok Samta Party,Harlakhi,BASANT KUMAR,3892,Bihar,40468,#999
Janata Dal (United),Harnaut,HARI NARAYAN SINGH,14295,Bihar,71933,#594671
Rashtriya Janata Dal,Harsidhi (SC),RAJENDRA KUMAR,10267,Bihar,75203,#21610B
Janata Dal (United),Hasanpur,RAJ KUMAR RAY,29600,Bihar,63094,#594671
Janata Dal (United),Hathua,RAMSEWAK SINGH,22984,Bihar,57917,#594671
Janata Dal (United),Hayaghat,AMAR NATH GAMI,33231,Bihar,65677,#594671
Rashtriya Janata Dal,Hilsa,ATRI MUNI URPH SHAKTI SINGH YADAV,26076,Bihar,72347,#21610B
Bharatiya Janata Party,Hisua,ANIL SINGH,12239,Bihar,82493,#FB7B0D
Hindustani Awam Morcha (Secular),Imamganj (SC),JITAN RAM MANJHI,29408,Bihar,79389,#999
Janata Dal (United),Islampur,CHANDRASEN PRASAD,22602,Bihar,66587,#594671
Rashtriya Janata Dal,Jagdishpur,RAM VISHUN SINGH,10195,Bihar,49020,#21610B
Rashtriya Janata Dal,Jahanabad,MUNDRIKA SINGH YADAV,30321,Bihar,76458,#21610B
Bharatiya Janata Party,Jale,JIBESH KUMAR,4620,Bihar,62059,#FB7B0D
Janata Dal (United),Jamalpur,SHAILESH KUMAR,15476,Bihar,67273,#594671
Rashtriya Janata Dal,Jamui,VIJAY PRAKASH,8249,Bihar,66577,#21610B
Bharatiya Janata Party,Jhajha,RABINDRA YADAV,22086,Bihar,65537,#FB7B0D
Rashtriya Janata Dal,Jhanjharpur,GULAB YADAV,834,Bihar,64320,#21610B
Janata Dal (United),Jokihat,SARFRAZ ALAM,53980,Bihar,92890,#594671
Indian National Congress,Kadwa,SHAKEEL AHMAD KHAN,5799,Bihar,56141,#019733
Indian National Congress,Kahalgaon,SADANAND SINGH,21229,Bihar,64981,#019733
Bharatiya Janata Party,Kalyanpur,SACHINDRA PRASAD SINGH,11488,Bihar,50060,#FB7B0D
Janata Dal (United),Kalyanpur (SC),MAHESHWAR HAZARI,37686,Bihar,84904,#594671
Independent,Kanti,ASHOK KUMAR CHOUDHARY (SADATPUR),9275,Bihar,58111,#95b3d7
Rashtriya Janata Dal,Karakat,SANJAY KUMAR SINGH,12119,Bihar,59720,#21610B
Janata Dal (United),Kargahar,BASHISHT SINGH,12907,Bihar,57018,#594671
Indian National Congress,Kasba,MD. AFAQUE ALAM,1794,Bihar,81633,#019733
Bharatiya Janata Party,Katihar,TARKISHORE PRASAD,14894,Bihar,66048,#FB7B0D
Rashtriya Janata Dal,Katoria (ST),SWEETY SIMA HEMBRAM,10337,Bihar,54760,#21610B
Rashtriya Janata Dal,Keoti,FARAZ FATMI,7830,Bihar,68601,#21610B
Rashtriya Janata Dal,Kesaria,DR. RAJESH KUMAR,15947,Bihar,62902,#21610B
Janata Dal (United),Khagaria,POONAM DEVI YADAV,25565,Bihar,64767,#594671
Rashtriya Janata Dal,Khajauli,SITARAM YADAV,10703,Bihar,71534,#21610B
Indian National Congress,Kishanganj,DR MOHAMMAD JAWAID,8609,Bihar,66522,#019733
Janata Dal (United),Kochadhaman,MUJAHID ALAM,18843,Bihar,55929,#594671
Indian National Congress,Korha (SC),PUNAM KUMARI ALIAS PUNAM PASWAN,5426,Bihar,78409,#019733
Janata Dal (United),Kuchaikote,AMRENDRA KUMAR PANDEY,3562,Bihar,72224,#594671
Bharatiya Janata Party,Kumhrar,ARUN KUMAR SINHA,37275,Bihar,87792,#FB7B0D
